title,author,titlerus,tag,wiki,img
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,Рождественская песнь в прозе,fairy tale,http://ru.wikipedia.org/wiki/%D0%EE%E6%E4%E5%F1%F2%E2%E5%ED%F1%EA%E0%FF_%EF%E5%F1%ED%FC_%E2_%EF%F0%EE%E7%E5,
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,"Франкенштейн, или Современный Прометей",novel,"http://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D0%B5%D0%BD%D1%88%D1%82%D0%B5%D0%B9%D0%BD,_%D0%B8%D0%BB%D0%B8_%D0%A1%D0%BE%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%9F%D1%80%D0%BE%D0%BC%D0%B5%D1%82%D0%B5%D0%B9",
Great Expectations,Charles Dickens,Большие надежды,novel,http://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B8%D0%B5_%D0%BD%D0%B0%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B,
True Ghost Stories,Hereward Carrington,Подлинные истории о привидениях,mysticism,"http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%80%D0%B8%D0%BD%D0%B3%D1%82%D0%BE%D0%BD,_%D0%A5%D0%B8%D1%83%D0%BE%D1%80%D0%B4",
The Prince and the Pauper,Mark Twain,Принц и нищий,novel,http://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BD%D1%86_%D0%B8_%D0%BD%D0%B8%D1%89%D0%B8%D0%B9_%28%D1%80%D0%BE%D0%BC%D0%B0%D0%BD%29,
"Steam, Its Generation and Use",Babcock & Wilcox Company,Гнерация пара и его использование,engineering,#,
Brother Billy,Frances Maragret Fox,Брат Билли,novel,#,
War and Peace,graf Leo Tolstoy,Война и Мир,novel,http://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B8_%D0%BC%D0%B8%D1%80,
The Count of Monte Cristo,Alexandre Dumas,Граф Монте Кристо,novel,http://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D1%84_%D0%9C%D0%BE%D0%BD%D1%82%D0%B5_%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%BE,
The Return of Sherlock Holmes,Arthur Conan Doyle,Возвращение Шерлока Холмса,detective,http://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5_%D0%A8%D0%B5%D1%80%D0%BB%D0%BE%D0%BA%D0%B0_%D0%A5%D0%BE%D0%BB%D0%BC%D1%81%D0%B0,
Roughing It,Mark Twain,Roughing It,novel,http://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%BA_%D0%A2%D0%B2%D0%B5%D0%BD,
The Funny Bone,Henry Martyn Kieffer,The Funny Bone,satire,#,
"Plant Lore, Legends, and Lyrics",Richard Folkard,"Plant Lore, Legends, and Lyrics",novel,#,
Dracula,Bram Stoker,Дракула,novel,http://ru.wikipedia.org/wiki/%D0%94%D1%80%D0%B0%D0%BA%D1%83%D0%BB%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD),
Boer War Lyrics,Louis Selmer,Boer War Lyrics,novel,#,
Gulliver's Travels,Jonathan Swift,Путешествия Гулливера,adventure,http://ru.wikipedia.org/wiki/%D0%9F%D1%83%D1%82%D0%B5%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D0%B5_%D0%93%D1%83%D0%BB%D0%BB%D0%B8%D0%B2%D0%B5%D1%80%D0%B0,
Siddhartha,Hermann Hesse,Сиддхартха,philosophy,http://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%B4%D0%B4%D1%85%D0%B0%D1%80%D1%82%D1%85%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD),
The King James Version of the Bible,King James, Библия короля Якова,bible,http://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%8B_%D0%91%D0%B8%D0%B1%D0%BB%D0%B8%D0%B8#.D0.90.D0.BD.D0.B3.D0.BB.D0.B8.D0.B9.D1.81.D0.BA.D0.B8.D0.B9_.D0.BF.D0.B5.D1.80.D0.B5.D0.B2.D0.BE.D0.B4,
The Mosaic History of the Creation of the World,Thomas Wood,История создания мира,history,"http://ru.wikipedia.org/wiki/%D0%92%D1%83%D0%B4,_%D0%A2%D0%BE%D0%BC%D0%B0%D1%81",
Emma,Jane Austen,Эмма,novel,"http://ru.wikipedia.org/wiki/%D0%AD%D0%BC%D0%BC%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD,_1815)",
De re coquinaria. English,Apicius,Рецепты Кухни Древнего Рима,culinary,http://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%85%D0%BD%D1%8F_%D0%94%D1%80%D0%B5%D0%B2%D0%BD%D0%B5%D0%B3%D0%BE_%D0%A0%D0%B8%D0%BC%D0%B0,
Jane Eyre: An Autobiography,Charlotte Brontë,Джейн Эйр,novel,http://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%B5%D0%B9%D0%BD_%D0%AD%D0%B9%D1%80,
The Mysterious Affair at Styles,Agatha Christie ,Загадочное происшествие в Стайлзе,detective,http://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D0%B0%D0%B4%D0%BE%D1%87%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B8%D1%81%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D0%B5_%D0%B2_%D0%A1%D1%82%D0%B0%D0%B9%D0%BB%D0%B7%D0%B5,
The Awakening and Selected Short Stories,Kate Chopin,«Пробуждение»,novel,"http://ru.wikipedia.org/wiki/%D0%A8%D0%BE%D0%BF%D0%B5%D0%BD,_%D0%9A%D0%B5%D0%B9%D1%82",
The Yellow Wallpaper,Charlotte Perkins Gilman,Желтые обои,novel,#,
The Republic,Plato,Государство,law,http://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%BE_(%D0%9F%D0%BB%D0%B0%D1%82%D0%BE%D0%BD),
Dubliners,James Joyce,Дублинцы,history,http://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%B1%D0%BB%D0%B8%D0%BD%D1%86%D1%8B,
Heart of Darkness,Joseph Conrad,Сердце тьмы,novel,http://ru.wikipedia.org/wiki/%D0%90%D0%BF%D0%BE%D0%BA%D0%B0%D0%BB%D0%B8%D0%BF%D1%81%D0%B8%D1%81_%D1%81%D0%B5%D0%B3%D0%BE%D0%B4%D0%BD%D1%8F,
The Romance of Lust,Anonymous,Романтика похоти,erotic,#,
Beyond Good and Evil,Friedrich Wilhelm Nietzsche,По ту сторону добра и зла. Прелюдия к философии будущего,philosophy,http://ru.wikipedia.org/wiki/%D0%9F%D0%BE_%D1%82%D1%83_%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%83_%D0%B4%D0%BE%D0%B1%D1%80%D0%B0_%D0%B8_%D0%B7%D0%BB%D0%B0._%D0%9F%D1%80%D0%B5%D0%BB%D1%8E%D0%B4%D0%B8%D1%8F_%D0%BA_%D1%84%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84%D0%B8%D0%B8_%D0%B1%D1%83%D0%B4%D1%83%D1%89%D0%B5%D0%B3%D0%BE,
Sense and Sensibility,Jane Austen, Ра́зум и чу́вства,novel,http://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%B2%D1%81%D1%82%D0%B2%D0%BE_%D0%B8_%D1%87%D1%83%D0%B2%D1%81%D1%82%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D1%8C,
The Brothers Karamazov,Fyodor Dostoyevsky ,Братья Карамазовы,novel,http://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D1%8C%D1%8F_%D0%9A%D0%B0%D1%80%D0%B0%D0%BC%D0%B0%D0%B7%D0%BE%D0%B2%D1%8B,
